Year,Site,Lat,Lon
2021,Set 3,49.611,-127.384
2021,Set 2,49.432,-127.253
2022,Set 14,48.32608333,-125.8912833
2022,Set 15,48.33036667,-126.0295333
2022,Set 17,49.97548333,-128.0925833
2021,Set 4,49.946,-127.791
2022,Set 20,50.67913333,-129.1588833
2022,Set 21,50.65806667,-129.19475
2022,Set 18,49.97453333,-128.1211
2021,Set 13,51.984,-130.401
2021,Set 18,53.952,-133.642
2021,Set 1,49.115,-126.973
2021,Set 12,51.617,-130.591
